SKU,NAME,sell_price,division_id
CRA018,Croco-Biskotë me krem kakao 25g/P120    ,0.069,10
CRA019,Brezel Maxi Croco 750g/Pako 4           ,1.71,10
CRA020,Shkopinjë të njelmët 40g Croco/Pako 46  ,0.114,10
CRA021,Croco-Shkopinjë te njelmët 80g/Pako 21  ,0.208,10
CRA022,Croco shkopinjë të njelmët 100g/P16     ,0.385,10
CRA023,Crackers Mix&Berzel 500g+ Shkopinj 40g G,1.085,10
CRA025,Croco Mix Crackers & Brezel 4/750g      ,2.73,10
CRA026,Croco biskotë me kako 32g 40%/P88       ,0.097,10
CRA027,Biskota Roco me krem kakao 150g/P23     ,0.425,10
CRA028,Crackers te njelmët  2x400g/Pako 8      ,1.786,10
CRA029,Biskota Petit Beurre me gjalpë 100g/P28 ,0.271,10
CRA030,Biskota Petit Beurre me mjaltë 100g/P28 ,0.238,10
CRA031,Croco Crackers Susame 12/150g           ,0.7,10
CRA032,CROCO Grisinni me susam dhe fara lin 100,0.328,10
CRA033,CROCO Grisinni qimon dhe susame 100g/P24,0.323,10
CRA034,CROCO Grisinni me rosmarine dhe origano ,0.313,10
CRA035,Croco Crackers Pizza 12/150g            ,0.67,10
CRA036,Crckers susame 150g+Biscota 100g S.Cmim ,0.642,10
CRA037,Croco crackers me kripe 150g/P15        ,0.457,10
CRA038,Croco  crackers me sesame te bardhe 150g,0.49,10
CRA039,Croco Special crackers digestiv 150g/P15,0.46,10
CRA040,Croco Crackers Mini 750g/P2             ,1.99,10
CRA041,Croco Crackers Top Pizza 12/150g        ,0.69,10
CRA042,Croco Crackers Top Salt 12/150g         ,0.65,10
CRA043,Croco Crackers Top Susame 12/150g       ,0.73,10
CRA044,"Flips, CROCO 45g/P50                    ",0.2,10
CRA045,"Flips, CROCO 85g/P30                    ",0.42,10
CRA046,Croco cereal pillows me kako 200g/P16   ,0.45,10
CRA047,"Shkopinje pereci, Croco 200g/P12        ",0.475,10
CRA048,"Brusketa me shije të pices, Croco 80gr/P",0.3,10
CRA049,Croco Bread Crisp Garlic Flavour 80gr/P1,0.3,10
CRA050,"Flips me shije të pices, CROCO  75 g/P30",0.42,10
CRA051,"Flips me shije të djathit,CROCO 75 g/P30",0.42,10
CRA052,"Snacks pizza, CROCO 25g/P60             ",0.21,10
CRA053,"Snacks proshutë, CROCO 25g/P60          ",0.21,10
CRA060,CROCO BAGELS me kripë  100g/P12         ,0.28,10
CRA061,Drithëra të mbushura me krem cokollate C,0.42,10
ELS001,El Sabor Nacho Chips me Kripe 18/100g   ,0.726,10
ELS002,El Sabor Nacho Chips Djeges 18/100g     ,0.726,10
ELS003,El Sabor Nacho Chips me djathe 18/100g  ,0.726,10
ELS004,El Sabor Nacho Chips Barbeque 18/100g   ,0.726,10
ELS005,El Sabor Nacho Chips Djeges Jalapeno 18/,0.726,10
ELS006,El Sabor Nacho Chips me Kripe 10/225g   ,1.41,10
ELS007,El Sabor Nacho Chips Djeges 10/225g     ,1.41,10
ELS008,El Sabor Nacho Chips Kripe&Salce 12/175g,1.79,10
ELS009,El Sabor Nacho Chips Kripe&Salce&Djathe ,1.79,10
ELS010,.                                       ,1.81,10
ELS011,.                                       ,1.81,10
ELS012,"Petë per dyner Tortilla 20cm , EL SABOR ",0.95,10
ELS014,"Petë per dyner Tortilla 25cm,EL SABOR  -",3.85,10
ELS015,Petë Tortillas Happy Time 25cm(18x4)/P18,1.09,10
ELS017,El Sabor Taco Shells 12/150g            ,2.69,10
ELS018,El Sabor Salce Djeges 12/300g           ,1.89,10
ELS019,El Sabor Salce Djathi Jalapeno 12/300g  ,2.09,10
ELS021,El Sabor Salce 6/1050g                  ,5.29,10
ELS023,El Sabor Nacho Jalapenos 8/225g         ,1.72,10
ELS024,El Sabor Salce Dip 12/315g              ,1.82,10
ELS025,El Sabor Salce Cheddar 12/300g          ,2.09,10
ELS026,El Sabor Fajita Kit (8 tortillas+erëzat+,4.49,10
ELS027,El Sabor Nachos Chips me Kripe Big 10/20,1.39,10
ELS028,El Sabor Taco Kit(12Taco+erëza+salcë) 12,4.75,10
ELS029,El Sabor Pete Integrale 20CM 18/240g    ,1.39,10
ELS031,"EL Sabor Taco Spice Mix 12/35g,         ",0.95,10
ELS032,EL Sabor Fajita Spice Mix 12/35g        ,0.95,10
ELS033,El Sabor Nacho Chips Kripe&Salce Domates,1.79,10
ELS034,El Sabor Nachitos Jalapeno 18/100gr     ,0.77,10
ELS035,El Sabor Nachitos BBQ 100/18gr          ,0.77,10
ELS036,El Sabor Nachitos Nacho Cheese 18/100gr ,0.77,10
ELS037,El Sabor - Pete Misri Gluten Free 20/208,2.45,10
ELS038,El Sabor Nacho Chips - Sour Cream&Onion ,0.73,10
ENG001,Hell Energy Drink 250ml/P24             ,0.508,10
ENG002,Hell ED Apple CAN 250ml/P24             ,0.508,10
ENG003,Hell ED Strong Red Grape CAN 250ml/P24  ,0.508,10
EVN001,Evian Uje natyral 24/0.33L              ,0.5,10
EVN002,Evian Uje natyral 24/0.5L               ,0.59,10
EVN003,Evian Uje natyral 12/0.75L              ,0.9,10
EVN004,Evian Uje natyral 6/1L                  ,0.95,10
EVN005,Evian Uje natyral 6/1.5L                ,1.14,10
EVN006,Evian Uje natyral (qelq) 20/0.33L       ,0.926,10
EVN007,Evian Uje natyral (qelq) 12/0.75L       ,1.49,10
FAR001,Farmers's Snack Hurme Natyral 10/200g   ,2.205,10
FAR002,Raisins Weinbeeren 250g (45305)Snack/P10,1.755,10
FAR003,Student Fitness Snack 40g(45873)Sna/P20 ,0.58,10
FAR004,Farmer's Snack Student Fitness Snack 12/,2.49,10
FAR005,Luxury Nut Mix arra 100g(45179)Snack/P10,2.91,10
FAR006,Fistekë 150g (40029) F.Snack/P10        ,4.212,10
FAR007,Farmer's Snack Student Trail Mix 10/200g,4.001,10
FAR008,Farmer's Snack Fruit Mix me Brusnice Ext,4.193,10
FAR009,Almonds Spiced 100g (40819)F.Snack/P10  ,2.075,10
FAR010,Cashew Nuts salted 90g(40109)F.Snack/P10,2.127,10
FAR011,Cashew Nuts Lime Chilli  90g(40149)/P10 ,2.075,10
FAR012,Almonds Spanish Natural 175g(40806)/P12 ,4.05,10
FAR013,Farmer's Snack Arra 13/100g             ,2.85,10
FAR014,Farmer's Snack Fara te qeruara 10/250g  ,2.05,10
FAR015,Fiq natyral 250g/P10                    ,3.776,10
FAR016,Fara Chia 400g/P7                       ,5.065,10
FAR017,Fruit Mix 200g/P10                      ,2.744,10
FAR018,Xhenxhefil 200g F.Snack/P10             ,3.756,10
FAR019,Arra 175g Farmer Snack/P12              ,4.481,10
FAR020,Nut Mix Farmer Snack 100g/P12           ,2.6,10
FAR021,Trial Mix Pina Colada 100g/P12          ,2.061,10
FAR022,Trial Mix me chocholate 115g/P12        ,2.061,10
FAR023,Trial Mix me shegë 140g/P10             ,3.538,10
FAR024,Vishnje të thara 120g/P10               ,3.039,10
FAR025,"Boronicë e kuqe, FARMERS SNACK 100gr /P7",1.79,10
FAR026,Boronicë 200g/P10                       ,3.076,10
FAR027,Mixed Berries 175g/P10                  ,3.039,10
FAR028,Fara Liri Farmer Snack 400g/P7          ,2.585,10
FAR029,Fara Quinoa 400g/P7                     ,4.357,10
FAR030,Susame 400g Farmer Snack/P7             ,3.065,10
FAR031,Boronicë e kuqe e thatë 125g/P10        ,2.762,10
FAR032,Kokos i grirë Farmer Snack100g/P10      ,2.06,10
FAR035,"Kajsia te thata 200g, F.snacks/P10      ",2.95,10
FAR036,Fiq i thatë F.Snacks 200g/P10           ,3.35,10
FAR037,Kumbulla të thata F.Snacks 200g/P10     ,3.25,10
FAR038,Bajame F.Snacks 100g/P13                ,2.49,10
FAR039,Farmer's Snack Feta Banane 10/150g      ,2.69,10
FAR040,Farmer's Snack Brusnice Organike 12/100g,2.79,10
FAR041,Farmer's Snack Badem 12/200g            ,4.73,10
FAR042,Farmer's Snack Festek te pjekur me Kripe,4.499,10
FAR043,Farmer's Snack Fara Kungulli 12/200g    ,3.15,10
FAR045,Farmer's Snack Mix Arra Natyrale 10/100g,3.259,10
FAR046,Farmer's Snack Kokos I grire 10/100g    ,2.153,10
FAR048,Farmer's Snack - Nut Mix te pjekura dhe ,3.49,10
FAR049,Farmer's Snack - Arra Indiane te pjekura,4,10
FAR050,Farmer's Snack -Student Trail Mix 8/350g,5,10
FAR051,Farmer's Snack - Kokos & Luleshtrydhe 10,3,10
FAR052,Farmer's Snack - Medjool Hurma 7/500gr  ,8.59,10
GEC001,"Crostata Kajsi , Gecchele 350g/P10      ",1.844,10
GEC002,Gecchele Kek Ciambella me Jogurt 6/400g ,3.19,10
GEC003,Gecchele Kek Ciambella Dy Ngjyreshe 6/40,3.19,10
GEC004,Gecchele Embelsire Treccia me krem dhe c,3.19,10
GEC005,"Kek Mr Plunk, Gecchele 350g/P9          ",2.246,10
GEC006,Gecchele Kek Marble 9/300g              ,2.681,10
GEC007,Gecchele Embelsire me Kakao 6/250g      ,3.19,10
GEC008,"Ëmbëlsirë  Brownie, Gecchele 300g/P6    ",2.05,10
GEC009,Gecchele Embelsire Torta Del Fornaio me ,3.23,10
GEC010,Gecchele Tiramisu 8/300g                ,1.945,10
GEC011,Gecchele Plumcake Goccioloso 9/300g     ,2.681,10
GEC012,Gecchele Kek Rodon me çoko vanille 6/400,3.19,10
GEC013,Gecchele Ciambella me Lemon 6/400g      ,3.19,10
